domain,category,evidence,source,risk_score,first_seen,last_seen,geo,notes
euctnqjc.xyz,spam,Community report,community,,2025-09-13,,,
atcrrdae.xyz,spam,Community report,community,,2025-09-13,,,
nvcedyjl.xyz,spam,Community report,community,,2025-09-13,,,
ixinvbxm.xyz,spam,Community report,community,,2025-09-13,,,
bmirehzq.xyz,spam,Community report,community,,2025-09-13,,,
nklkkdly.xyz,spam,Community report,community,,2025-09-13,,,
fbbpowqi.xyz,spam,Community report,community,,2025-09-13,,,
psmxjlwt.xyz,spam,Community report,community,,2025-09-13,,,
npaqkpnb.xyz,spam,Community report,community,,2025-09-13,,,
clainoyj.xyz,spam,Community report,community,,2025-09-13,,,
aqzjjtht.xyz,spam,Community report,community,,2025-09-13,,,
wmhxqfby.xyz,spam,Community report,community,,2025-09-13,,,
kfwxrsbl.xyz,spam,Community report,community,,2025-09-13,,,
eksjtazn.xyz,spam,Community report,community,,2025-09-13,,,
fxdqkyci.xyz,spam,Community report,community,,2025-09-13,,,
sudotqtq.xyz,spam,Community report,community,,2025-09-13,,,
4037eatwhat.xyz,spam,Community report,community,,2025-09-13,,,
xh1940.xyz,spam,Community report,community,,2025-09-13,,,
mdamdkki.xyz,spam,Community report,community,,2025-09-13,,,
jiqjsdoz.xyz,spam,Community report,community,,2025-09-13,,,
tjgklsnd.xyz,spam,Community report,community,,2025-09-13,,,
wnhfxbrw.xyz,spam,Community report,community,,2025-09-13,,,
rgwnrldn.xyz,spam,Community report,community,,2025-09-13,,,
griglaby.xyz,spam,Community report,community,,2025-09-13,,,
lncemrgi.xyz,spam,Community report,community,,2025-09-13,,,
qtwaogkq.xyz,spam,Community report,community,,2025-09-13,,,
ohaxyfpv.xyz,spam,Community report,community,,2025-09-13,,,
ffvqtibx.xyz,spam,Community report,community,,2025-09-13,,,
cnxmfgzr.xyz,spam,Community report,community,,2025-09-13,,,
tkozlsoe.xyz,spam,Community report,community,,2025-09-13,,,
zzemoxsh.xyz,spam,Community report,community,,2025-09-13,,,
tamecdte.xyz,spam,Community report,community,,2025-09-13,,,
wenejgql.xyz,spam,Community report,community,,2025-09-13,,,
qfhaynib.xyz,spam,Community report,community,,2025-09-13,,,
ukivpyzl.xyz,spam,Community report,community,,2025-09-13,,,
wjsxject.xyz,spam,Community report,community,,2025-09-13,,,
wxysjkah.xyz,spam,Community report,community,,2025-09-13,,,
kflqhygp.xyz,spam,Community report,community,,2025-09-13,,,
lxqkhqwd.xyz,spam,Community report,community,,2025-09-13,,,
loelbhwt.xyz,spam,Community report,community,,2025-09-13,,,
nbgwhdnr.xyz,spam,Community report,community,,2025-09-13,,,
cerkcqqz.xyz,spam,Community report,community,,2025-09-13,,,
dcrczndk.xyz,spam,Community report,community,,2025-09-13,,,
rhglshpz.xyz,spam,Community report,community,,2025-09-13,,,
rmshtaqb.xyz,spam,Community report,community,,2025-09-13,,,
wowvajog.xyz,spam,Community report,community,,2025-09-13,,,
xjlfpzrl.xyz,spam,Community report,community,,2025-09-13,,,
fppeidur.xyz,spam,Community report,community,,2025-09-13,,,
tccflups.xyz,spam,Community report,community,,2025-09-13,,,
grdosmue.xyz,spam,Community report,community,,2025-09-13,,,
jvvzdcnc.xyz,spam,Community report,community,,2025-09-13,,,
rvjxpksh.xyz,spam,Community report,community,,2025-09-13,,,
txpydlpm.xyz,spam,Community report,community,,2025-09-13,,,
xljnqphv.xyz,spam,Community report,community,,2025-09-13,,,
ihdhnleu.xyz,spam,Community report,community,,2025-09-13,,,
tdxcouzr.xyz,spam,Community report,community,,2025-09-13,,,
sphereservice.xyz,spam,Community report,community,,2025-09-13,,,
kckvphzm.xyz,spam,Community report,community,,2025-09-13,,,
icaatbhy.xyz,spam,Community report,community,,2025-09-13,,,
bxjqvode.xyz,spam,Community report,community,,2025-09-13,,,
oeqghytx.xyz,spam,Community report,community,,2025-09-13,,,
cvkygeth.xyz,spam,Community report,community,,2025-09-13,,,
kestpoxg.xyz,spam,Community report,community,,2025-09-13,,,
bpygykin.xyz,spam,Community report,community,,2025-09-13,,,
bdbmcgyg.xyz,spam,Community report,community,,2025-09-13,,,
jycvrwnq.xyz,spam,Community report,community,,2025-09-13,,,
mtqllxxd.xyz,spam,Community report,community,,2025-09-13,,,
ntfthcur.xyz,spam,Community report,community,,2025-09-13,,,
dtvlsrbl.xyz,spam,Community report,community,,2025-09-13,,,
tkzojtbf.xyz,spam,Community report,community,,2025-09-13,,,
nggrdswo.xyz,spam,Community report,community,,2025-09-13,,,
sazfmezf.xyz,spam,Community report,community,,2025-09-13,,,
abyoxohg.xyz,spam,Community report,community,,2025-09-13,,,
jwwxnxxc.xyz,spam,Community report,community,,2025-09-13,,,
egjqkvry.xyz,spam,Community report,community,,2025-09-13,,,
dtiifgzk.xyz,spam,Community report,community,,2025-09-13,,,
kpbcgzzk.xyz,spam,Community report,community,,2025-09-13,,,
apibfblg.xyz,spam,Community report,community,,2025-09-13,,,
crjvnslb.xyz,spam,Community report,community,,2025-09-13,,,
blsvmurt.xyz,spam,Community report,community,,2025-09-13,,,
wiknluhc.xyz,spam,Community report,community,,2025-09-13,,,
cygyvfbv.xyz,spam,Community report,community,,2025-09-13,,,
ekatzvkl.xyz,spam,Community report,community,,2025-09-13,,,
vftryafx.xyz,spam,Community report,community,,2025-09-13,,,
nclbrwil.xyz,spam,Community report,community,,2025-09-13,,,
agkjaxjp.xyz,spam,Community report,community,,2025-09-13,,,
kdsbzrzk.xyz,spam,Community report,community,,2025-09-13,,,
axhnhcqz.xyz,spam,Community report,community,,2025-09-13,,,
fifkxhby.xyz,spam,Community report,community,,2025-09-13,,,
nhivyzwn.xyz,spam,Community report,community,,2025-09-13,,,
odinodjd.xyz,spam,Community report,community,,2025-09-13,,,
aocrsljd.xyz,spam,Community report,community,,2025-09-13,,,
qouhfbfp.xyz,spam,Community report,community,,2025-09-13,,,
vhcjzqze.xyz,spam,Community report,community,,2025-09-13,,,
dmjltsfe.xyz,spam,Community report,community,,2025-09-13,,,
jtuahihf.xyz,spam,Community report,community,,2025-09-13,,,
kpiqkvgr.xyz,spam,Community report,community,,2025-09-13,,,
vzynhhud.xyz,spam,Community report,community,,2025-09-13,,,
qfynwqky.xyz,spam,Community report,community,,2025-09-13,,,
ifftynrr.xyz,spam,Community report,community,,2025-09-13,,,
cwsusvze.xyz,spam,Community report,community,,2025-09-13,,,
dxsvpmqw.xyz,spam,Community report,community,,2025-09-13,,,
usdvkclt.xyz,spam,Community report,community,,2025-09-13,,,
voktkhnx.xyz,spam,Community report,community,,2025-09-13,,,
klmquclu.xyz,spam,Community report,community,,2025-09-13,,,
kbgkeiip.xyz,spam,Community report,community,,2025-09-13,,,
mgapqygu.xyz,spam,Community report,community,,2025-09-13,,,
nttsqvuu.xyz,spam,Community report,community,,2025-09-13,,,
bhkdydmq.xyz,spam,Community report,community,,2025-09-13,,,
hzdcvcvx.xyz,spam,Community report,community,,2025-09-13,,,
iuvdcmav.xyz,spam,Community report,community,,2025-09-13,,,
zcfliakc.xyz,spam,Community report,community,,2025-09-13,,,
fdkozlph.xyz,spam,Community report,community,,2025-09-13,,,
rmvfkyxo.xyz,spam,Community report,community,,2025-09-13,,,
tczqepty.xyz,spam,Community report,community,,2025-09-13,,,
eralqxji.xyz,spam,Community report,community,,2025-09-13,,,
slotsxoro.xyz,spam,Community report,community,,2025-09-13,,,
hdreska0.xyz,spam,Community report,community,,2025-09-13,,,
article-spinner.xyz,spam,Community report,community,,2025-09-13,,,
nxhuij.xyz,spam,Community report,community,,2025-09-13,,,
ghost-story.xyz,spam,Community report,community,,2025-09-13,,,
superslot289.xyz,spam,Community report,community,,2025-09-13,,,
88uefa.xyz,spam,Community report,community,,2025-09-13,,,
